系統識別碼,團隊合作差值,填寫時間_舊,填寫時間_新
1100777709,-0.4299999999999997,2023-05-27,2023-12-21
1100788709,0.13999999999999968,2023-03-15,2025-06-29
1101633619,0.13999999999999968,2024-02-27,2025-06-19
1102688629,0.0,2023-06-25,2025-06-24
1104733749,-0.29000000000000004,2021-12-10,2023-12-21
1108677689,-0.7200000000000006,2023-03-21,2025-06-27
1110755709,0.4300000000000006,2023-01-03,2025-03-24
1110788709,0.4299999999999997,2022-12-15,2025-06-10
1111666619,0.0,2022-08-24,2023-01-01
1111688619,-1.1400000000000001,2022-09-01,2025-03-24
1111744719,-1.71,2023-01-03,2025-03-24
1112655629,0.0,2022-12-28,2025-03-24
1112666629,0.28000000000000025,2023-01-04,2025-03-24
1112688629,-0.71,2022-08-25,2025-03-24
1112744729,1.1400000000000001,2023-01-03,2025-03-24
1113655639,-0.5700000000000003,2023-01-03,2025-03-24
1113666639,1.0000000000000004,2023-01-03,2025-03-24
1113744739,-0.15000000000000036,2022-08-30,2025-03-24
1114622649,0.13999999999999968,2025-02-23,2025-04-15
1114688649,0.29000000000000004,2022-08-30,2025-03-24
1114744749,-0.1499999999999999,2023-01-03,2025-03-24
1114766749,-0.7200000000000002,2023-01-03,2025-03-24
1114777749,-0.29000000000000004,2022-09-21,2025-03-24
1114788749,0.14000000000000012,2022-08-23,2025-03-24
1115655659,-0.14000000000000057,2023-01-03,2025-03-24
1115666659,0.1499999999999999,2023-01-03,2025-03-24
1115688659,0.29000000000000004,2022-09-22,2025-03-24
1115766759,0.8599999999999999,2022-10-01,2025-03-24
1115777759,0.14000000000000012,2022-12-31,2025-03-24
1116644669,0.7100000000000004,2022-09-22,2025-03-24
1116688669,0.15000000000000036,2022-11-22,2025-03-24
1116744769,0.0,2022-09-24,2025-03-24
1116766769,0.0,2022-09-30,2025-03-24
1116788769,-0.14000000000000012,2022-09-21,2025-03-24
1117622679,-0.8500000000000001,2024-09-23,2025-03-24
1117644679,-0.8500000000000001,2023-01-03,2025-03-24
1118666689,0.13999999999999968,2022-09-22,2025-03-24
1118688689,0.0,2022-08-25,2025-03-24
1118755789,-0.13999999999999968,2023-01-03,2025-03-24
1119666699,0.41999999999999993,2023-01-02,2025-03-24
1119677699,1.2799999999999998,2023-01-03,2025-04-25
1119766799,0.0,2022-09-22,2025-03-24
1119788799,0.0,2022-08-26,2025-03-24
1124666649,0.13999999999999968,2023-09-08,2025-02-26
1125777759,-0.2799999999999998,2023-09-08,2023-10-26
1129644699,-2.0,2023-09-08,2025-06-20
1130666609,-0.5699999999999998,2024-09-23,2025-04-12
1135777759,-0.15000000000000036,2025-04-09,2025-07-04
